ID,Name,Activity,Detail,Address,Link,Description,longitude,latitude
1,Waimea Valley,Play,Hike,"Waimea Valley Road, Haleiwa, Hawaii 96712",https://thistraveldream.com/waimea-falls/,Waterfall with botanical garden in north shore. Close to shark's cove and food trucks,-158.0576548,21.6378001
2,Hanauma Bay,Play,Snorkel,"7455 Kalanianaʻole Hwy, Honolulu, HI 96825",https://pros2.hnl.info/hanauma-bay,"Popular state park featuring a sandy beach, snorkeling, a coral reef & an education center. Only open Wednesday thru Sunday",-157.6972964,21.2710687
3,Turtle Canyon,Play,Snorkel,"7599+33, Honolulu, HI",https://www.tripadvisor.com/AttractionProductReview-g29222-d11447891-Turtle_Canyon_Catamaran_Snorkel_Cruise_from_Waikiki-Oahu_Hawaii.html,"Nature preserve in Honolulu County, Hawaii",-157.8323125,21.2676875
4,K'Olina Lagoons,Play,Snorkel,"Ulua Lagoon,, Kapolei, HI 96707",http://koolina.com/destination/lagoons/,Ko Olina encompasses 642 acres featuring a string of four jewel-like lagoons connected by more than a mile and a half of seaside pathways.,-158.0823892,21.3337389
5,Kualoa Ranch,Play,ATV,"49-560 Kamehameha Hwy, Kaneohe, HI 96744",https://www.kualoa.com/jurassic-adventure-tour/,"Kualoa is a 4,000-acre private nature reserve and working cattle ranch, as well as a popular tourist attraction and filming location on the windward coast of Oʻahu in Hawaiʻi. It is about 24 miles from Honolulu, and 32 miles from Haleiwa",-157.837278,21.520742
6,Moana Lani Spa,Play,Spa,"2365 Kalākaua Ave, Honolulu, HI 96815",https://www.moanalanispa.com/,"With luxurious facilities and a warm staff that embodies the aloha spirit, Moana Lani Spa has been recognized as one of the best spas in Hawaii and the country.",-157.8266361,21.2765462
7,Dole Plantation,Play,Tour,"64-1550 Kamehameha Hwy, Wahiawa, HI 96786",https://www.doleplantation.com/,Historic pineapple plantation now attracts families with a train ride & the world's largest maze.,-158.0377136,21.5260075
8,Iolani Palace,Play,Tour,"364 S King St, Honolulu, HI 96813",https://www.iolanipalace.org/,"The ʻIolani Palace was the royal residence of the rulers of the Kingdom of Hawaiʻi beginning with Kamehameha III under the Kamehameha Dynasty and ending with Queen Liliʻuokalani under the Kalākaua Dynasty, founded by her brother, King David Kalākaua",-157.8587331,21.3068174
9,Byodo-In Temple,Play,Tour,"47-200 Kahekili Hwy, Kaneohe, HI 96744",https://byodo-in.com/,The Byodo-In Temple is a non-denominational Buddhist temple located on the island of Oʻahu in Hawaiʻi in Valley of the Temples Memorial Park. It was dedicated in August 1968 to commemorate the 100th anniversary of the first Japanese immigrants to Hawaiʻi,-157.8322482,21.4306937
10,Shangri La,Play,Tour,"4055 Pāpū Cir, Honolulu, HI 96816",https://www.shangrilahawaii.org/,"The Shangri La Museum of Islamic Art, Culture & Design is housed in the former home of Doris Duke near Diamond Head just outside Honolulu, Hawaii. It is now owned and operated as a public museum of the arts and cultures of the Islamic world by the Doris Duke Foundation for Islamic Art.",-157.7949294,21.2568499
